heat_demand_kW,price,temperature
2.828,69.98,0.791
2.712,69.06,0.471
2.632,73.39,-0.545
2.632,79.38,-2.035
2.764,87.63,-2.312
3.004,94.7,-2.523
3.056,99.99,-2.781
2.904,92.39,-3.112
2.804,85.65,-3.495
2.856,76.13,-3.902
2.916,75.61,-4.264
2.916,69.13,-4.547
3,68.67,-4.827
3.056,57.83,-5.197
3.076,55.15,-5.667
3.068,50.89,-6.07
3.084,51.37,-6.47
3.156,55.01,-6.915
3.3,54.29,-7.263
3.392,60.05,-6.452
3.416,63.12,-4.904
3.36,58.76,-3.099
3.252,54.64,-1.606
3.144,53.07,-0.604
3.036,46.95,-0.245
2.92,46.6,-0.458
2.836,54.35,-1.551
2.84,64.74,-3.005
2.988,78.68,-3.589
3.252,81.98,-3.929
3.308,86,-4.331
3.152,82.16,-4.805
3.044,78.67,-5.421
3.1,64.09,-5.951
3.168,63.84,-6.388
3.168,58.68,-6.632
3.26,51.35,-7.049
3.324,53.08,-7.538
3.344,53.07,-8.123
3.34,45.73,-8.586
3.352,53,-9.092
3.432,73.07,-9.538
3.588,83.96,-9.788
3.688,90,-8.596
3.716,88.92,-6.813
3.652,82.25,-4.652
3.532,78.95,-3.232
3.416,76.6,-2.004
3.296,61.99,-1.491
3.172,81.94,-1.591
3.084,78.95,-2.378
3.084,82.9,-4.047
3.244,85.08,-5.065
3.532,85.03,-5.782
3.6,85.13,-6.32
3.424,84.97,-6.758
3.308,84.27,-7.043
3.368,81.95,-7.238
3.44,81.92,-7.454
3.444,69.56,-7.703
3.54,55.09,-7.84
3.604,55,-7.92
3.628,59.9,-7.946
3.62,55.03,-7.875
3.628,59.9,-7.831
3.712,72.2,-7.809
3.876,88.93,-7.836
3.98,88.92,-7.473
4,90.99,-6.701
3.924,85.1,-5.876
3.788,75.96,-5.017
3.656,65.86,-4.428
3.52,61.19,-4.195
3.376,62.1,-4.135
3.272,73,-4.264
3.264,79.12,-4.642
3.42,83.52,-4.991
3.712,85.1,-5.283
3.764,87,-5.5
3.568,84.38,-5.631
3.432,80.8,-5.695
3.48,75.96,-5.709
3.54,75.29,-5.706
3.528,54.04,-5.743
3.616,49.9,-5.792
3.668,46.05,-5.845
3.672,49.9,-5.937
3.652,46.03,-6.118
3.648,52.04,-6.238
3.716,52.59,-6.388
3.868,65.65,-6.612
3.96,79.17,-6.042
3.968,83.11,-4.692
3.884,79.99,-3.348
3.736,78.38,-2.262
3.596,78.02,-1.525
3.456,72.25,-1.324
3.308,72.96,-1.688
3.204,76.96,-2.479
3.192,77.62,-3.438
3.344,76.98,-4.139
3.624,80.1,-4.824
3.676,80.1,-5.456
3.484,75.76,-5.852
3.348,66.95,-6.148
3.4,56.69,-6.408
3.456,52.17,-6.514
3.444,50,-6.412
3.528,50.24,-6.283
3.58,49.72,-6.129
3.588,48.67,-6.031
3.568,48.16,-6.072
3.564,50.26,-6.212
3.632,58.03,-6.415
3.776,73.52,-6.494
3.868,86.54,-5.4
3.872,94.7,-3.796
3.788,87.97,-2.458
3.64,83.95,-1.494
3.5,78.66,-1.019
3.36,74.95,-0.895
3.208,77.3,-1.056
3.1,84.33,-1.617
3.08,89.28,-2.684
3.216,97.6,-3.565
3.476,118.02,-4.37
3.512,112.68,-4.944
3.32,94.39,-5.265
3.18,90.01,-5.466
3.212,84.4,-5.622
3.256,78.88,-6.034
3.232,73.94,-6.363
3.296,62.8,-6.614
3.332,62,-6.928
3.324,58.49,-6.809
3.288,58.07,-6.442
3.272,62.21,-6.048
3.32,67.81,-5.478
3.44,77.52,-4.767
3.504,84.93,-3.259
3.496,85.99,-1.923
3.408,84.93,-0.457
3.264,76.74,0.534
3.124,75.48,1.112
2.988,69.85,1.463
2.848,67.76,1.599
2.744,75.1,1.582
2.72,78.61,1.563
2.832,84.9,1.673
3.056,87.25,1.647
3.084,86.98,1.575
2.908,85.19,1.403
2.784,77.58,1.266
2.808,70.19,1.139
2.844,64.18,1.036
2.824,61.49,0.651
2.88,59.41,0.128
2.908,57.12,-0.386
2.9,57.1,-0.681
2.872,55.12,-0.881
2.86,55.75,-1.108
2.904,57.06,-1.372
3.012,59.63,-1.426
3.072,66.21,0.209
3.072,77.14,1.385
2.996,74.25,1.622
2.876,62.34,1.954
2.76,57.01,2.155
2.648,55.84,2.089
2.528,53.88,1.664
2.44,59.79,0.576
2.428,72.82,-0.794
2.536,81.85,-1.31
2.744,90.32,-1.471
2.776,94.63,-1.505
2.628,90.12,-1.344
2.524,84.69,-1.191
2.556,77.71,-1.099
2.6,75.97,-1.004
2.588,72.7,-0.841
2.648,66.77,-0.821
2.684,60.49,-0.732
2.692,58.57,-0.597
2.672,57.92,-0.623
2.672,58.64,-0.565
2.72,60.79,-0.288
2.832,58.3,-0.027
2.9,62.36,0.373
2.908,64.07,0.938
2.844,60.47,1.334
2.74,58.07,1.781
2.636,55.61,2.118
2.536,52.02,2.476
